county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Buuri West,"80,762","40,496","40,264","27,973","27,905",68,639,126,Sub-county
Igembe Central,"221,412","111,208","110,200","52,031","51,848",183,603,367,Sub-county
Igembe North,"169,317","83,364","85,949","38,871","38,716",155,"1,113",152,Sub-county
Igembe South,"161,646","80,192","81,446","43,281","43,222",59,255,633,Sub-county
Imenti North,"177,567","88,506","89,056","57,668","57,556",112,232,767,Sub-county
Imenti South,"206,506","103,338","103,162","64,186","63,954",232,418,494,Sub-county
Meru Central,"133,818","66,920","66,894","39,595","39,498",97,377,355,Sub-county
Tigania Central,"104,730","51,814","52,916","25,039","24,983",56,237,441,Sub-county
Tigania East,"72,549","35,352","37,194","17,185","16,791",394,511,142,Sub-county
Tigania West,"139,961","67,715","72,241","36,207","35,402",805,399,351,Sub-county
Meru National Park,385,283,102,207,46,161,838,0,Sub-county
Mt. Kenya Forest,463,409,54,283,273,10,"1,060",0,Sub-county
Tharaka Nithi,"393,177","193,764","199,406","109,860","109,450",410,"2,564",153,County
Igambang'Ombe,"53,210","26,464","26,745","14,398","14,383",15,323,165,Sub-county
Maara,"114,894","57,689","57,205","35,041","34,779",262,266,431,Sub-county
Meru South,"91,080","44,923","46,155","28,249","28,211",38,139,656,Sub-county
Tharaka North,"58,345","28,290","30,053","13,413","13,403",10,839,70,Sub-county
Tharaka South,"75,250","36,190","39,058","18,646","18,603",43,637,118,Sub-county
Mount Kenya Forest,398,208,190,113,71,42,360,1,Sub-county
Embu,"608,599","304,208","304,367","182,743","182,427",316,"2,821",216,County
Embu East,"129,564","64,571","64,991","39,678","39,586",92,253,512,Sub-county
Embu North,"79,556","39,665","39,888","24,300","24,294",6,111,719,Sub-county
Embu West,"127,100","63,125","63,966","43,153","43,126",27,158,804,Sub-county
Mbeere South,"163,476","83,311","80,159","46,065","45,924",141,"1,312",125,Sub-county
Mbeere North,"108,881","53,517","55,360","29,528","29,483",45,784,139,Sub-county
Mount Kenya Forest,22,19,3,19,14,5,203,0,Sub-county
Kitui,"1,136,187","549,003","587,151","262,942","261,814","1,128","30,430",37,County
Ikutha,"82,964","39,986","42,976","16,679","16,579",100,"9,033",9,Sub-county
Katulani,"47,108","23,150","23,957","12,170","12,166",4,324,146,Sub-county
Kisasi,"46,142","22,646","23,496","10,866","10,860",6,295,157,Sub-county
Kitui Central,"105,991","52,123","53,863","29,057","29,026",31,422,251,Sub-county
Kitui West,"70,871","33,887","36,983","17,497","17,465",32,416,170,Sub-county
Kyuso,"76,867","36,789","40,077","15,993","15,969",24,"2,525",30,Sub-county
Lower Yatta,"63,329","31,701","31,628","15,454","15,021",433,"1,191",53,Sub-county
Matinyani,"47,811","23,362","24,448","11,513","11,497",16,264,181,Sub-county
Migwani,"79,255","37,525","41,726","19,096","18,843",253,635,125,Sub-county
Mumoni,"29,344","13,748","15,596","6,496","6,451",45,611,48,Sub-county
Mutitu,"55,287","26,388","28,896","11,521","11,490",31,"4,710",12,Sub-county
Mutitu North,"21,215","10,337","10,877","4,929","4,929", - ,548,39,Sub-county
Mutomo,"113,356","54,819","58,531","23,044","23,034",10,"2,853",40,Sub-county
Mwingi Central,"108,713","52,539","56,174","26,753","26,745",8,"1,146",95,Sub-county
Mwingi East,"85,139","40,314","44,820","18,730","18,725",5,"3,418",25,Sub-county
Nzambani,"46,788","22,929","23,857","11,276","11,276", - ,320,146,Sub-county
Thagicu,"15,136","7,141","7,994","3,289","3,289", - ,363,42,Sub-county
Tseikuru,"40,871","19,619","21,252","8,579","8,449",130,"1,356",30,Sub-county
Machakos,"1,421,932","710,707","711,191","402,466","399,523","2,943","6,037",236,County
Athi River,"322,499","164,322","158,172","109,735","109,723",12,835,386,Sub-county
Kalama,"54,462","26,764","27,692","14,182","14,137",45,480,113,Sub-county
Kangundo,"97,917","48,697","49,219","26,142","26,115",27,173,565,Sub-county
Kathiani,"111,890","54,910","56,976","28,730","28,730", - ,204,548,Sub-county
Machakos,"170,606","85,486","85,114","50,979","50,753",226,280,609,Sub-county
Masinga,"148,522","73,519","75,001","36,251","36,196",55,"1,407",106,Sub-county
Matungulu,"161,557","81,145","80,407","44,454","44,399",55,581,278,Sub-county
Mwala,"181,896","90,427","91,466","45,840","45,809",31,"1,013",179,Sub-county
Yatta,"172,583","85,437","87,144","46,153","43,661","2,492","1,062",162,Sub-county
