county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Homa Bay,"1,131,950","539,560","592,367","262,036","260,290","1,746","3,153",359,County
Homa Bay,"117,439","55,756","61,681","29,318","28,471",847,182,645,Sub-county
Ndhiwa,"218,136","103,706","114,422","48,062","47,956",106,713,306,Sub-county
Rachuonyo North,"178,686","85,409","93,273","41,809","41,661",148,435,410,Sub-county
Rachuonyo East,"121,822","57,709","64,111","27,319","27,229",90,251,486,Sub-county
Rachuonyo South,"130,814","61,663","69,151","30,990","30,693",297,256,511,Sub-county
Rangwe,"117,732","55,404","62,325","27,003","26,983",20,274,429,Sub-county
Suba North,"124,938","60,530","64,406","29,766","29,662",104,406,307,Sub-county
Suba South,"122,383","59,383","62,998","27,769","27,635",134,634,193,Sub-county
Migori,"1,116,436","536,187","580,214","240,168","238,133","2,035","2,613",427,County
Awendo,"117,290","56,348","60,939","27,033","27,014",19,255,459,Sub-county
Kuria East,"96,872","46,969","49,894","17,363","17,267",96,188,516,Sub-county
Kuria West,"208,513","101,090","107,417","39,781","39,723",58,396,527,Sub-county
Nyatike,"176,162","83,989","92,164","40,257","39,358",899,677,260,Sub-county
Rongo,"124,587","59,257","65,329","29,087","29,007",80,213,584,Sub-county
Suna East,"122,674","58,977","63,694","27,302","27,214",88,205,598,Sub-county
Suna West,"128,890","61,430","67,459","29,251","28,839",412,288,448,Sub-county
Uriri,"141,448","68,127","73,318","30,094","29,711",383,392,361,Sub-county
Kisii,"1,266,860","605,784","661,038","308,054","307,254",800,"1,323",957,County
Etago,"83,787","40,137","43,647","18,610","18,610", - ,108,773,Sub-county
Gucha,"83,740","39,631","44,108","19,657","19,621",36,82,"1,020",Sub-county
Gucha South,"83,623","40,022","43,598","19,732","19,627",105,95,878,Sub-county
Kenyenya,"131,740","62,859","68,878","30,989","30,985",4,142,930,Sub-county
Kisii Central,"166,906","81,330","85,573","44,311","44,037",274,136,"1,229",Sub-county
Kisii South,"135,134","64,514","70,615","31,696","31,574",122,128,"1,054",Sub-county
Kitutu Central,"154,175","74,608","79,561","41,271","41,233",38,100,"1,537",Sub-county
Marani,"107,464","50,598","56,864","26,186","26,133",53,128,837,Sub-county
Masaba South,"122,396","58,143","64,248","29,232","29,206",26,161,759,Sub-county
Nyamache,"130,898","62,113","68,782","30,712","30,583",129,163,805,Sub-county
Sameta,"66,997","31,829","35,164","15,658","15,645",13,79,847,Sub-county
Nyamira,"605,576","290,907","314,656","150,669","150,499",170,897,675,County
Borabu,"73,167","36,736","36,431","19,468","19,404",64,247,296,Sub-county
Manga,"94,209","44,868","49,339","23,869","23,836",33,111,845,Sub-county
Masaba North,"111,860","52,884","58,974","27,913","27,904",9,142,789,Sub-county
Nyamira North,"167,267","80,314","86,947","40,446","40,396",50,216,775,Sub-county
Nyamira South,"159,073","76,105","82,965","38,973","38,959",14,182,876,Sub-county
Nairobi City,"4,397,073","2,192,452","2,204,376","1,506,888","1,494,676","12,212",704,"6,247",County
Dagoretti,"434,208","217,651","216,526","155,089","154,949",140,29,"14,908",Sub-county
Embakasi,"988,808","492,476","496,270","347,955","346,462","1,493",86,"11,460",Sub-county
Kamukunji,"268,276","136,670","131,599","84,365","83,680",685,11,"25,455",Sub-county
Kasarani,"780,656","381,234","399,385","271,290","268,611","2,679",86,"9,063",Sub-county
Kibra,"185,777","94,199","91,569","61,690","61,651",39,12,"15,311",Sub-county
Lang'Ata,"197,489","96,698","100,774","62,239","60,187","2,052",217,911,Sub-county
Makadara,"189,536","96,369","93,157","70,361","70,080",281,12,"16,150",Sub-county
Mathare,"206,564","106,522","100,028","74,967","74,967", - ,3,"68,940",Sub-county
Njiru,"626,482","307,642","318,809","204,563","204,492",71,130,"4,821",Sub-county
Starehe,"210,423","109,173","101,238","69,389","66,108","3,281",21,"10,205",Sub-county
Westlands,"308,854","153,818","155,021","104,980","103,489","1,491",98,"3,167",Sub-county
